,BE_FR_export,BE_FR_import,BE_NL_export,BE_NL_import,BE_DE_export,BE_DE_import,BE_UK_export,BE_UK_import,BE_LU_export,BE_LU_import
2022-12-31 23:00:00+00:00,3453.895,0.0,162.3075,0.0,0.0,262.905,263.635,0.0,0.0,86.4
2023-01-01 00:00:00+00:00,3917.645,0.0,0.0,1311.65,587.1725,105.46,257.9475,0.0,0.0,105.46
2023-01-01 01:00:00+00:00,4227.285,0.0,0.0,485.145,74.2825,705.2025,258.9775,0.0,74.2825,0.0
2023-01-01 02:00:00+00:00,3614.28,0.0,26.775,32.535,133.375,620.6500000000001,258.015,0.0,133.375,0.0
2023-01-01 03:00:00+00:00,3858.12,0.0,97.4175,0.0,143.6225,826.24,258.03999999999996,0.0,143.6225,0.0
2023-01-01 04:00:00+00:00,3684.8175,0.0,0.0,268.075,119.1075,250.16500000000002,251.2525,0.0,119.1075,0.0
2023-01-01 05:00:00+00:00,4659.505,0.0,0.0,93.045,182.4625,359.825,0.0,312.895,182.4625,0.0
2023-01-01 06:00:00+00:00,4699.7475,0.0,0.0,504.55,156.57500000000002,39.9225,0.0,270.34,156.57500000000002,0.0
2023-01-01 07:00:00+00:00,4585.3225,0.0,0.0,587.0175,196.72500000000002,0.0,0.0,410.425,139.3,0.0
2023-01-01 08:00:00+00:00,3963.42,0.0,0.0,210.685,112.685,64.93,0.0,404.64,112.1825,0.0
2023-01-01 09:00:00+00:00,3202.4025,0.0,233.125,0.0,143.8375,724.15,98.41000000000001,0.0,143.8375,0.0
2023-01-01 10:00:00+00:00,1696.4375,0.0,14.0975,99.835,84.33250000000001,391.02250000000004,1005.7225,0.0,84.33250000000001,0.0
2023-01-01 11:00:00+00:00,1695.8375,0.0,143.2225,0.0,123.2325,377.97,1023.6800000000001,0.0,123.2325,0.0
2023-01-01 12:00:00+00:00,1075.8475,0.0,832.02,0.0,235.8975,458.91999999999996,1023.7625,0.0,235.8975,0.0
2023-01-01 13:00:00+00:00,709.265,0.0,854.485,0.0,230.26500000000001,555.785,1023.7825,0.0,230.26500000000001,0.0
2023-01-01 14:00:00+00:00,34.865,332.72,1024.2475,0.0,228.54500000000002,274.485,1023.85,0.0,228.54500000000002,0.0
2023-01-01 15:00:00+00:00,0.0,1489.8025,1287.3775,0.0,318.23,0.0,1023.945,0.0,221.2675,0.0
2023-01-01 16:00:00+00:00,0.0,2106.1975,2056.465,0.0,472.15,0.0,1044.6,0.0,200.985,0.0
2023-01-01 17:00:00+00:00,0.0,2336.565,1506.4175,0.0,1089.965,0.0,1029.145,0.0,129.0675,0.0
2023-01-01 18:00:00+00:00,0.0,2542.3625,2407.2625,0.0,235.9625,50.0175,1044.6750000000002,0.0,232.7225,0.0
2023-01-01 19:00:00+00:00,0.0,2759.0225,2646.135,0.0,492.59499999999997,0.0,1044.6299999999999,0.0,170.7725,0.0
2023-01-01 20:00:00+00:00,0.0,3005.4825,2235.7575,0.0,257.6775,0.0,1044.605,0.0,86.9875,0.0
2023-01-01 21:00:00+00:00,0.0,3050.1475,2176.515,0.0,746.36,0.0,1023.9825,0.0,46.82,0.0
2023-01-01 22:00:00+00:00,0.0,2284.0475,2561.7125,0.0,143.325,504.265,1023.8625,0.0,143.325,0.0
2023-01-01 23:00:00+00:00,0.0,2403.1725,3330.115,0.0,241.385,590.0899999999999,1023.9,0.0,241.385,0.0
2023-01-02 00:00:00+00:00,0.0,2022.3025,2913.5875,0.0,263.52750000000003,3.4725,1023.835,0.0,179.6825,0.0
2023-01-02 01:00:00+00:00,0.0,1700.7175,2097.5725,0.0,551.56,0.0,1023.86,0.0,27.9875,0.0
2023-01-02 02:00:00+00:00,0.0,2012.845,2269.5725,0.0,416.955,0.0,1023.8125,0.0,55.035,0.0
2023-01-02 03:00:00+00:00,0.0,1961.0725,2399.8625,0.0,297.3125,0.0,1023.7825,0.0,90.405,0.0
2023-01-02 04:00:00+00:00,0.0,2106.655,2964.86,0.0,212.7925,433.3625,984.135,0.0,212.7925,0.0
