,wind_offshore,wind_onshore,solar
2023-01-01 00:00:00+01:00,1964.435,2228.6075,0.0
2023-01-01 01:00:00+01:00,1983.0375,2192.43,0.0
2023-01-01 02:00:00+01:00,1975.905,2190.915,0.0
2023-01-01 03:00:00+01:00,1923.3,2163.6825,0.0
2023-01-01 04:00:00+01:00,1991.72,2112.68,0.0
2023-01-01 05:00:00+01:00,1960.8475,2008.5025,0.0
2023-01-01 06:00:00+01:00,1985.2275,1985.275,0.0
2023-01-01 07:00:00+01:00,1984.8325,1903.6425,0.0
2023-01-01 08:00:00+01:00,2091.0375,1738.3675,0.1425
2023-01-01 09:00:00+01:00,2027.29,1675.5975,75.24
2023-01-01 10:00:00+01:00,1927.135,1582.2775,283.7875
2023-01-01 11:00:00+01:00,1419.495,1538.2325,708.51
2023-01-01 12:00:00+01:00,1553.415,1444.805,766.53
2023-01-01 13:00:00+01:00,1681.1125,1335.105,520.62
2023-01-01 14:00:00+01:00,1638.5775,1100.835,292.2125
2023-01-01 15:00:00+01:00,1327.105,956.45,97.1875
2023-01-01 16:00:00+01:00,997.025,893.9375,5.3325
2023-01-01 17:00:00+01:00,1090.255,863.24,0.03
2023-01-01 18:00:00+01:00,1231.6975,983.13,0.0
2023-01-01 19:00:00+01:00,488.1325,974.885,0.0
2023-01-01 20:00:00+01:00,549.4025,1036.9325,0.0
2023-01-01 21:00:00+01:00,676.06,1192.3575,0.0
2023-01-01 22:00:00+01:00,867.7925,1453.2625,0.0
2023-01-01 23:00:00+01:00,1009.4075,1458.5375,0.0
2023-01-02 00:00:00+01:00,1075.8275,1634.505,0.0
2023-01-02 01:00:00+01:00,729.3575,1766.405,0.0
2023-01-02 02:00:00+01:00,541.135,1854.015,0.0
2023-01-02 03:00:00+01:00,377.0825,1827.985,0.0
2023-01-02 04:00:00+01:00,363.5475,1779.1875,0.0
2023-01-02 05:00:00+01:00,471.08,1535.53,0.0
2023-01-02 06:00:00+01:00,417.4225,1201.5325,0.0
2023-01-02 07:00:00+01:00,602.125,1057.91,0.0
2023-01-02 08:00:00+01:00,743.6325,880.9475,0.01
2023-01-02 09:00:00+01:00,943.38,579.0725,56.3225
2023-01-02 10:00:00+01:00,1008.32,445.63,259.75
2023-01-02 11:00:00+01:00,1303.55,444.785,401.85
