,wind_offshore_fc,wind_onshore_fc,solar_fc
2023-01-01 00:00:00+01:00,2164.7275,2144.65,0.0
2023-01-01 01:00:00+01:00,2164.83,2134.625,0.0
2023-01-01 02:00:00+01:00,2165.3225,2108.925,0.0
2023-01-01 03:00:00+01:00,2165.705,2050.2,0.0
2023-01-01 04:00:00+01:00,2165.36,1937.25,0.0
2023-01-01 05:00:00+01:00,2163.945,1837.45,0.0
2023-01-01 06:00:00+01:00,2163.3075,1764.95,0.0
2023-01-01 07:00:00+01:00,2163.2,1757.575,0.0
2023-01-01 08:00:00+01:00,2161.6975,1779.2,1.2125
2023-01-01 09:00:00+01:00,2157.0925,1808.05,69.435
2023-01-01 10:00:00+01:00,2150.265,1828.0,236.8925
2023-01-01 11:00:00+01:00,2141.235,1774.55,341.8275
2023-01-01 12:00:00+01:00,2128.38,1695.125,324.825
2023-01-01 13:00:00+01:00,2099.51,1576.975,247.915
2023-01-01 14:00:00+01:00,2054.545,1422.2,130.0975
2023-01-01 15:00:00+01:00,2020.54,1245.375,60.035
2023-01-01 16:00:00+01:00,1956.315,1073.6,9.75
2023-01-01 17:00:00+01:00,1806.1825,1036.95,0.0
2023-01-01 18:00:00+01:00,1633.01,995.55,0.0
2023-01-01 19:00:00+01:00,1535.6775,937.8,0.0
2023-01-01 20:00:00+01:00,1436.7675,921.85,0.0
2023-01-01 21:00:00+01:00,1368.03,920.525,0.0
2023-01-01 22:00:00+01:00,1291.5125,877.8,0.0
2023-01-01 23:00:00+01:00,1225.0475,838.775,0.0
2023-01-02 00:00:00+01:00,890.5025,1596.35,0.0
2023-01-02 01:00:00+01:00,998.52,1698.825,0.0
2023-01-02 02:00:00+01:00,983.67,1727.025,0.0
2023-01-02 03:00:00+01:00,967.575,1725.75,0.0
2023-01-02 04:00:00+01:00,849.285,1652.925,0.0
2023-01-02 05:00:00+01:00,833.155,1505.175,0.0
2023-01-02 06:00:00+01:00,804.745,1339.2,0.0
2023-01-02 07:00:00+01:00,823.4525,1113.625,0.0
2023-01-02 08:00:00+01:00,759.325,889.05,0.57
2023-01-02 09:00:00+01:00,707.8,746.6,28.26
2023-01-02 10:00:00+01:00,665.1925,708.375,91.0975
2023-01-02 11:00:00+01:00,695.1975,720.75,156.58
2023-01-02 12:00:00+01:00,770.985,781.425,219.0875
2023-01-02 13:00:00+01:00,836.2575,834.3,275.7075
2023-01-02 14:00:00+01:00,848.1425,844.45,285.9575
2023-01-02 15:00:00+01:00,821.5325,879.4,149.705
2023-01-02 16:00:00+01:00,764.095,951.55,22.4675
2023-01-02 17:00:00+01:00,684.6875,976.65,0.0
2023-01-02 18:00:00+01:00,604.3525,978.2,0.0
2023-01-02 19:00:00+01:00,539.1375,1009.025,0.0
