,load_actual,load_forecast
2023-01-01 00:00:00+01:00,7378.1425,8176.2875
2023-01-01 01:00:00+01:00,7082.92,7642.8625
2023-01-01 02:00:00+01:00,6820.1925,7315.745
2023-01-01 03:00:00+01:00,6588.475,7068.3875
2023-01-01 04:00:00+01:00,6430.72,6940.98
2023-01-01 05:00:00+01:00,6464.385,6911.6975
2023-01-01 06:00:00+01:00,6634.0650000000005,6980.8225
2023-01-01 07:00:00+01:00,6715.9325,6928.995
2023-01-01 08:00:00+01:00,6827.96,7006.695
2023-01-01 09:00:00+01:00,7008.1,7156.67
2023-01-01 10:00:00+01:00,7342.442499999999,7342.1425
2023-01-01 11:00:00+01:00,7941.815,7579.2725
2023-01-01 12:00:00+01:00,7889.0325,7761.47
2023-01-01 13:00:00+01:00,7599.21,7732.54
2023-01-01 14:00:00+01:00,7704.0975,7641.4775
2023-01-01 15:00:00+01:00,7470.8,7685.3075
2023-01-01 16:00:00+01:00,7759.7075,7792.3724999999995
2023-01-01 17:00:00+01:00,8160.530000000001,8238.6
2023-01-01 18:00:00+01:00,8339.73,8416.4
2023-01-01 19:00:00+01:00,8145.965,8271.05
2023-01-01 20:00:00+01:00,8012.4125,8042.84
2023-01-01 21:00:00+01:00,7776.547500000001,7857.5025000000005
2023-01-01 22:00:00+01:00,7756.8775,8069.7175
2023-01-01 23:00:00+01:00,7566.1175,8122.5625
2023-01-02 00:00:00+01:00,7184.39,7661.9025
2023-01-02 01:00:00+01:00,6680.23,7625.42
2023-01-02 02:00:00+01:00,6222.46,7300.8375
2023-01-02 03:00:00+01:00,6200.1575,7194.3949999999995
2023-01-02 04:00:00+01:00,6310.9625,7301.4025
2023-01-02 05:00:00+01:00,6712.66,7643.3425
2023-01-02 06:00:00+01:00,7497.9425,8383.9075
2023-01-02 07:00:00+01:00,7873.969999999999,9084.95
2023-01-02 08:00:00+01:00,8595.195,9706.915
2023-01-02 09:00:00+01:00,8962.555,9681.0225
2023-01-02 10:00:00+01:00,9278.6875,9654.275
2023-01-02 11:00:00+01:00,9584.5725,9764.285
2023-01-02 12:00:00+01:00,9603.11,9746.6175
2023-01-02 13:00:00+01:00,9414.015,9751.1775
2023-01-02 14:00:00+01:00,9355.1775,9650.369999999999
2023-01-02 15:00:00+01:00,9317.415,9623.665
2023-01-02 16:00:00+01:00,9382.647500000001,9745.7725
2023-01-02 17:00:00+01:00,9953.960000000001,10382.235
2023-01-02 18:00:00+01:00,10058.57,10380.3575
2023-01-02 19:00:00+01:00,9643.87,9912.7425
2023-01-02 20:00:00+01:00,9168.2675,9467.755
2023-01-02 21:00:00+01:00,8693.467499999999,8906.41
2023-01-02 22:00:00+01:00,8736.0875,8799.115
2023-01-02 23:00:00+01:00,8608.2225,8651.7125
2023-01-03 00:00:00+01:00,8108.4400000000005,8633.945
2023-01-03 01:00:00+01:00,7749.48,8136.4925
2023-01-03 02:00:00+01:00,7424.8925,7867.6175
2023-01-03 03:00:00+01:00,7332.4375,7686.8975
2023-01-03 04:00:00+01:00,7359.9325,7758.5225
2023-01-03 05:00:00+01:00,7689.09,8028.9800000000005
2023-01-03 06:00:00+01:00,8431.125,8652.9375
2023-01-03 07:00:00+01:00,9113.085,9265.865
2023-01-03 08:00:00+01:00,9846.192500000001,9963.0225
2023-01-03 09:00:00+01:00,10105.217499999999,10267.765
2023-01-03 10:00:00+01:00,10359.817500000001,10375.4225
2023-01-03 11:00:00+01:00,10470.4075,10487.4775
2023-01-03 12:00:00+01:00,10252.895,10428.657500000001
2023-01-03 13:00:00+01:00,10181.8375,10323.377499999999
2023-01-03 14:00:00+01:00,10036.705,10208.625
2023-01-03 15:00:00+01:00,10032.77,10210.27
