,FR,NL,DE
2022-12-31 23:00:00+00:00,0.0,-3.61,-5.17
2023-01-01 00:00:00+00:00,-0.1,-1.46,-1.07
2023-01-01 01:00:00+00:00,-1.33,-1.52,-1.47
2023-01-01 02:00:00+00:00,-4.08,-5.0,-5.08
2023-01-01 03:00:00+00:00,-4.16,-4.6,-4.49
2023-01-01 04:00:00+00:00,-3.58,-4.05,-5.4
2023-01-01 05:00:00+00:00,-4.37,-3.6,-5.02
2023-01-01 06:00:00+00:00,-0.12,0.0,-1.3
2023-01-01 07:00:00+00:00,-0.06,0.0,-1.44
2023-01-01 08:00:00+00:00,0.0,0.0,-1.09
2023-01-01 09:00:00+00:00,0.0,0.99,-1.07
2023-01-01 10:00:00+00:00,0.0,0.58,-1.07
2023-01-01 11:00:00+00:00,0.0,0.04,-0.79
2023-01-01 12:00:00+00:00,0.1,0.0,-0.27
2023-01-01 13:00:00+00:00,1.5,0.85,0.85
2023-01-01 14:00:00+00:00,23.5,23.53,23.53
2023-01-01 15:00:00+00:00,36.54,36.54,36.54
2023-01-01 16:00:00+00:00,46.03,46.03,46.03
2023-01-01 17:00:00+00:00,44.43,99.9,55.57
2023-01-01 18:00:00+00:00,54.95,54.95,54.95
2023-01-01 19:00:00+00:00,47.38,62.0,49.23
2023-01-01 20:00:00+00:00,40.24,52.93,44.99
2023-01-01 21:00:00+00:00,45.96,45.96,45.96
2023-01-01 22:00:00+00:00,35.0,35.0,35.0
2023-01-01 23:00:00+00:00,61.38,109.9,57.91
2023-01-02 00:00:00+00:00,52.68,94.9,51.67
2023-01-02 01:00:00+00:00,52.93,52.93,52.93
2023-01-02 02:00:00+00:00,42.75,44.16,44.09
2023-01-02 03:00:00+00:00,50.08,50.08,50.08
2023-01-02 04:00:00+00:00,67.91,77.09,69.72
2023-01-02 05:00:00+00:00,105.08,105.08,105.08
2023-01-02 06:00:00+00:00,140.64,140.64,140.64
2023-01-02 07:00:00+00:00,149.8,162.44,145.98
2023-01-02 08:00:00+00:00,154.66,180.0,147.05
2023-01-02 09:00:00+00:00,145.61,145.61,145.61
2023-01-02 10:00:00+00:00,143.35,143.35,143.35
2023-01-02 11:00:00+00:00,144.38,144.38,144.38
2023-01-02 12:00:00+00:00,143.76,143.76,143.76
2023-01-02 13:00:00+00:00,148.2,148.2,148.2
2023-01-02 14:00:00+00:00,155.34,155.34,155.34
2023-01-02 15:00:00+00:00,163.17,164.0,162.89
2023-01-02 16:00:00+00:00,173.8,185.68,170.0
2023-01-02 17:00:00+00:00,174.74,174.74,174.74
2023-01-02 18:00:00+00:00,165.76,169.9,164.46
2023-01-02 19:00:00+00:00,153.0,153.0,153.0
2023-01-02 20:00:00+00:00,141.67,141.67,141.67
2023-01-02 21:00:00+00:00,134.91,134.91,134.91
2023-01-02 22:00:00+00:00,124.22,124.22,124.22
2023-01-02 23:00:00+00:00,130.01,130.01,130.01
2023-01-03 00:00:00+00:00,120.0,120.0,120.0
2023-01-03 01:00:00+00:00,118.76,118.76,118.76
2023-01-03 02:00:00+00:00,115.0,115.0,115.0
2023-01-03 03:00:00+00:00,113.63,113.63,113.63
2023-01-03 04:00:00+00:00,116.27,116.27,116.27
2023-01-03 05:00:00+00:00,138.92,138.92,138.92
2023-01-03 06:00:00+00:00,159.92,159.92,159.92
2023-01-03 07:00:00+00:00,169.17,169.17,169.17
2023-01-03 08:00:00+00:00,171.18,171.18,171.18
2023-01-03 09:00:00+00:00,168.57,168.57,168.57
2023-01-03 10:00:00+00:00,169.49,169.49,169.49
2023-01-03 11:00:00+00:00,164.5,164.5,164.5
2023-01-03 12:00:00+00:00,160.91,160.91,160.91
2023-01-03 13:00:00+00:00,163.06,163.06,163.06
2023-01-03 14:00:00+00:00,166.46,166.79,167.73
2023-01-03 15:00:00+00:00,166.88,166.57,166.61
2023-01-03 16:00:00+00:00,171.23,170.82,170.72
2023-01-03 17:00:00+00:00,169.01,168.95,168.93
2023-01-03 18:00:00+00:00,160.99,160.99,160.99
2023-01-03 19:00:00+00:00,149.62,149.62,149.62
2023-01-03 20:00:00+00:00,131.5,130.63,130.99
2023-01-03 21:00:00+00:00,115.1,114.42,114.27
2023-01-03 22:00:00+00:00,95.02,92.48,93.66
2023-01-03 23:00:00+00:00,82.03,80.07,80.89
2023-01-04 00:00:00+00:00,72.22,68.44,70.67
2023-01-04 01:00:00+00:00,43.91,37.92,40.0
2023-01-04 02:00:00+00:00,16.28,0.0,8.68
2023-01-04 03:00:00+00:00,8.56,0.0,0.85
2023-01-04 04:00:00+00:00,20.98,6.33,11.02
2023-01-04 05:00:00+00:00,72.45,54.9,61.02
2023-01-04 06:00:00+00:00,105.1,85.32,79.2
2023-01-04 07:00:00+00:00,134.16,150.0,84.2
2023-01-04 08:00:00+00:00,129.3,146.0,83.32
2023-01-04 09:00:00+00:00,120.7,131.19,70.07
2023-01-04 10:00:00+00:00,96.77,130.53,79.74
2023-01-04 11:00:00+00:00,105.03,127.87,80.89
2023-01-04 12:00:00+00:00,106.0,119.08,79.72
